name,gridid,sector,status_name,product_type,asset_type,logo_url
Solana,88,Blockchain Platforms,Active,L1,Currency,https://img.thegrid.id/upload/a8ea71ac63e8e30a92fc4b4b4cc6583c4317a69c52c0e321902662b21439a575.svg
Jupiter,89,Finance,Active,DEX Aggregator ,Governance,https://img.thegrid.id/upload/93b2ba6d5d68fdfb658773bceece20fb9e02c951fbe026c56c02d5f927bd8350.svg
Raydium,90,Finance,Active,Decentralised Exchange,Governance,https://img.thegrid.id/upload/f88b86cfba17e96efd33f04719e9cf1a704c60a89a6e28af71489016c0262317.svg
Solflare,93,Asset Management,Active,Wallet,N/A,https://img.thegrid.id/harvest/b856a0d5f5bf35b026aa26ae328070c45a837fb2d3e9e1fc34526ccc3b51b1bd.png
Mad Lads,94,NFTs,Active,N/A,NFT,https://img.thegrid.id/harvest/95b21fd47c5aa92b13ec1c93d0eb2177a34571dd14d46a83ee7ed1ba0f952c89.svg
Nosana,95,Infrastructure,Active,DePin,Utility,https://img.thegrid.id/harvest/313b5bbc52f937422601bd1aacefb1bd8c5719d2d7eff460e31b1c5c4ba761ce.svg
Hivemapper,106,Data & Analytics,Active,DePin,Utility,https://img.thegrid.id/upload/f631b911687d0ede5c3ca753d01bf22d3852f6869e599be0e781e5f09ce63ce1.svg
Helius,107,Developer Tooling,Active,RPC Provider,N/A,https://img.thegrid.id/harvest/25aacbeb5a8dc42808ed172a52c8fd21ad8d213b0550d691c9d6978a90e1ea73.svg
Wormhole,108,Infrastructure,Active,Bridge,Utility,https://img.thegrid.id/upload/df2bbc0e110596ec97172de9e2bb1ad405fbb390da26590f73d2567b98b7e073.svg
Render Network,109,Infrastructure,Active,DePin,"Utility, Utility",https://img.thegrid.id/upload/eaf94a173a0950b22a57dafb7af51ad2ebb238a2eaaf6b83d50dce4ca201c047.svg
Grass,110,Infrastructure,Active,Data,N/A,https://img.thegrid.id/upload/375c44306da5a2f70bef253c2fe41b28bf91cbe4b46ee0b201305620255e5502.svg
Tensor,112,NFTs,Active,NFT Marketplace,"NFT, Governance",https://img.thegrid.id/upload/4b32eaac23cd1576cdb5015dc97ac66b0a2d078acb6642c9b5ab75bcff110bf4.png
Backpack,113,Asset Management,Active,Wallet,N/A,https://img.thegrid.id/upload/23a4c498b265544559ab2b5c08b7bca13830019920593f98bf6897d0ef41d6c9.svg
Save,114,Finance,Active,Decentralised Borrowing & Lending,"Digital Reward Assets, Utility",https://img.thegrid.id/upload/ecc1cd4a8c357ecb44990c22222f6ae581cff1635ebd17bcccf6f09afdc4e130.svg
Solblaze,115,Infrastructure,Active,Liquid Staking,Governance,https://img.thegrid.id/upload/4ff57fe6059c872345e000fa68228b0ca95323adb986d1b735a4e5a64e30f271.svg
Marginfi,126,Finance,Active,Decentralised Borrowing & Lending,"Stablecoin, -",https://img.thegrid.id/upload/746fc3224be548e879b530894e8ce3ba7badeda84fbf65e43a6e6485d0223892.svg
Vybe Network,127,Data & Analytics,Active,OnChain Data API,N/A,https://img.thegrid.id/upload/452a42e7640c982f43ffc0dfeb2d36751ef5d5d031e546df1a73c4d88888c550.svg
Drift,128,Finance,Active,Decentralised Exchange,Governance,https://img.thegrid.id/upload/543509c72106157735b4457b789199723dfb6eb2872c379a2c6f1ca9b788242b.png
GooseFX,129,Finance,Active,Yield Aggregator,Utility,https://img.thegrid.id/upload/26ea3035cb8531bf595c9f560ea4e111674a4e99af3ade5c94151b0716476b97.svg
SolanaFM,130,Data & Analytics,Acquired,Explorer,N/A,https://img.thegrid.id/upload/cca9fb25c057cd52d3ca0bb694e88e46c33c122fde829102d90b713217c9c7d9.svg
Solana Beach,131,Data & Analytics,Active,Explorer,N/A,https://img.thegrid.id/upload/bde5fe416bd13c468f8e362c21601505fce0e88e9c0d44653f68c1323409c9a2.svg
Star Atlas,132,Gaming,Active,Game,"Utility, Governance",https://img.thegrid.id/upload/1f61cd5abce6df9280d6434ad105fc546eea0f033dbdf596e7a2ae65f2554791.png
Helium Network,133,Infrastructure,Active,DePin,"Utility, Utility",https://img.thegrid.id/upload/df94fb6a4d5a13aa5179949d4e9d5a18feb6ed17aa7652b359be9f1941f51189.svg
Credix Finance,134,Finance,Active,RWA Tokenisation Platform,N/A,https://img.thegrid.id/upload/48962db3412f9b425160aa01f2af79032253517021c042c10032e075e2479fb9.svg
